,country_iso,gci_index,cp_index,fs_index,modslave_per_1000,vul_modslave,gov_response_modslave,mip_index,surface_area,population_1000,population_dense,employed_agriculture,employed_industry,employed_services,unemployed,migrant_stock_1000,ref_ooc_1000,labour_part_f,labour_part_m,node_type,in_eu,cluster
43,SVK,4.3336207639565885,51.0,44.9,2.935693630439162,27.16024420173374,53.154761904761905,39.0,49035,5448.0,113.3,3.3,34.5,62.2,9.9,177.2,2.7,51.4,68.0,both,1,2
44,SVN,4.477296697688545,61.0,33.9,2.1729806440919472,20.125622987333063,59.58333333333332,48.0,20273,2080.0,103.3,8.9,29.6,61.5,8.1,236.0,0.6,51.8,62.2,neither,1,2
45,ESP,4.700403054374333,58.0,39.8,2.266634579689552,12.803360239237636,66.90476190476191,60.0,505944,46354.0,92.9,3.9,19.2,76.8,18.3,5853.0,28.8,52.1,64.2,destination,1,2
47,SWE,5.518916051422318,88.0,22.6,1.5846299387166747,4.2727318367363605,68.69047619047619,86.0,438574,9911.0,24.2,1.8,18.2,79.9,7.3,1639.8,348.5,60.7,68.0,destination,1,1
48,CHE,5.857734474878627,86.0,21.8,1.6729613349300687,1.5061400437948982,59.999999999999986,50.0,41291,8476.0,214.5,3.5,20.4,76.1,4.6,2438.7,110.1,62.5,74.5,destination,0,1
49,UKR,4.106631850721943,29.0,75.5,6.412410947078156,54.38473237953043,53.035714285714285,48.0,603500,44223.0,76.3,15.7,24.6,59.7,8.8,4834.9,1644.8,52.3,67.5,both,0,3
50,GBR,5.506823881732811,81.0,32.4,2.078790620701799,11.129042995029408,71.5,56.0,242495,66182.0,273.6,1.2,18.4,80.4,5.0,8543.1,151.7,57.0,68.6,destination,1,1
51,AZE,4.690255791097851,30.0,76.3,4.464912203232378,47.75200672022986,48.1547619047619,52.361111111111114,86600,9828.0,118.9,36.7,14.2,49.1,5.2,264.2,623.3,62.0,68.8,origin,0,3
52,KAZ,4.3498703532502745,29.0,66.5,4.21061684498874,43.318814097807454,32.79761904761905,52.361111111111114,2724902,18204.0,6.7,18.1,20.4,61.6,5.6,3546.8,9.2,66.3,77.5,both,0,0
53,GEO,4.278862343125086,57.0,78.9,4.333950211530388,39.16111692434736,62.797619047619044,52.361111111111114,69700,3912.0,56.3,44.7,11.2,44.1,11.4,168.8,274.1,57.9,79.0,both,0,3
54,TUR,4.418121767819765,41.0,77.3,6.49817584734083,51.57993119988408,47.38095238095238,43.0,783562,80745.0,104.9,19.6,27.5,52.9,10.8,2964.9,3006.3,30.4,71.4,both,0,3
